"","unitid","instnm","age_entry","female","married","dependent","veteran","first_gen","faminc","md_faminc","faminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ccbasic","adm_rate","sat_avg","PCIP01","PCIP10","PCIP12","PCIP13","PCIP14","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP27","PCIP29","PCIP38","PCIP39","PCIP41","PCIP43","PCIP44","PCIP45","PCIP46","PCIP48","PCIP51","PCIP52","PCIP54","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","sd_earn_wne_p10"
"375","152530","TAYLOR UNIVERSITY-UPLAND","19.6800003051757","0.56000000238418","0.03999999910593","0.93000000715255","0.0","0.20000000298023","77897.81","69209.5","31577.220703125","88.1399993896484","6.51000022888183","1.62000000476837","4.07000017166137","14.3999996185302","8.3100004196167","94.6299972534179","63373.39","6.13999986648559","3.23000001907348",15,"0.7763","1205.0","0.0","0.0","0.0","0.2636","0.0","0.0084","0.0","0.0","0.0418","0.0042","0.0","0.0209","0.0","0.0021","0.0502","0.0","0.0","0.0335","0.0293","0.0","0.0","0.0126","0.1841","0.0314","43900","38600","7600","21900","54500","36600"
"376","152567","TRI-STATE UNIVERSITY","22.1000003814697","0.36000001430511","0.10999999940395","0.76999998092651","0.03999999910593","0.4699999988079","68074.91","64935","39947.51953125","87.5400009155273","6.78999996185302","1.03999996185302","5.88000011444091","10.5500001907348","6.05999994277954","95.2799987792968","56298.95","7.0","3.54999995231628",15,"0.7579","1019.0","0.0","0.0","0.0","0.1206","0.4322","0.0","0.0","0.0","0.005","0.005","0.0","0.0101","0.0","0.0","0.0","0.0","0.0302","0.0","0.0151","0.0","0.0","0.005","0.201","0.005","51600","47600","18800","33300","68900","28500"
"377","152600","VALPARAISO UNIVERSITY","20.079999923706","0.55000001192092","0.02999999932944","0.9200000166893","0.0","0.28999999165534","81485.04","77379","29532.119140625","85.4800033569336","7.71999979019165","2.0","6.88000011444091","15.289999961853","8.75","92.4100036621093","68333.54","5.34999990463256","3.0",18,"0.7996","1193.0","0.0","0.0","0.0","0.0635","0.0808","0.0188","0.0014","0.0","0.0361","0.0","0.0","0.0087","0.0","0.0159","0.0","0.0","0.026","0.026","0.0577","0.0","0.0","0.2958","0.0996","0.0188","56700","50400","17000","34400","72500","37200"
"378","152673","WABASH COLLEGE","19.5699996948242","0.0","0.0","0.98000001907348","0.0","0.28000000119209","83363.63","78134.5","27673.5","87.7799987792968","5.76000022888183","1.86000001430511","7.30000019073486","16.7299995422363","10.079999923706","94.5599975585937","66502.57","5.78999996185302","2.89000010490417",14,"0.5455","1188.0","0.0","0.0","0.0","0.0","0.0","0.0723","0.0","0.0","0.1627","0.0","0.0","0.0181","0.0","0.1446","0.0","0.0","0.0","0.0","0.1084","0.0","0.0","0.0","0.0","0.0723","61100","52600","17400","37100","74100","45200"
"379","152798","ALLEN COLLEGE","24.0900001525878","0.9200000166893","0.2199999988079","0.62999999523162","0.00999999977648","0.41999998688697","57778.69","55861","35943.23828125","91.5100021362304","4.8600001335144","0.88999998569488","2.53999996185302","16.2399997711181","8.39999961853027","96.6299972534179","55285.11","6.21000003814697","3.25999999046325",23,"0.5116","950.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","51200","46900","20400","36500","66700","38100"
"380","152822","AMERICAN INSTITUTE OF BUSINESS","21.2099990844726","0.79000002145767","0.07999999821186","0.75999999046325","0.01999999955296","0.49000000953674","47001.03","42145","24074.150390625","91.3399963378906","3.47000002861023","1.60000002384185","3.10999989509582","13.0200004577636","5.05999994277954","96.25","55166.69","7.65000009536743","3.35999989509582",26,"0.8955","1010.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0453","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8395","0.0","37000","35100","10700","23700","47900","20800"
"381","152992","BRIAR CLIFF COLLEGE","23.3600006103515","0.64999997615814","0.15999999642372","0.68999999761581","0.00999999977648","0.38999998569488","60406.53","57457.5","40515.37890625","89.1399993896484","1.55999994277954","1.82000005245208","7.8600001335144","13.4799995422363","6.40999984741211","93.5899963378906","53097.81","7.23000001907348","2.70000004768371",15,"0.212","988.0","0.0","0.0","0.0","0.0502","0.0","0.0042","0.0","0.0","0.0335","0.0084","0.0","0.0209","0.0","0.0","0.0084","0.0","0.0251","0.0377","0.0209","0.0","0.0","0.1088","0.4351","0.0126","45000","41000","15200","29800","55600","26600"
"382","153001","BUENA VISTA UNIVERSITY","24.2700004577636","0.62000000476837","0.23999999463558","0.60000002384185","0.01999999955296","0.40000000596046","55474.47","50088","36092.4609375","95.7600021362304","0.80000001192092","0.74000000953674","3.03999996185302","11.9799995422363","4.82999992370605","97.120002746582","50032.02","6.63000011444091","2.65000009536743",15,"0.8532","1110.0","0.0","0.0","0.0","0.2229","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0029","0.0","0.0014","0.0","0.0","0.0","0.02","0.0757","0.0","0.0","0.0086","0.3829","0.0057","43500","40600","14000","28600","54000","26200"
"383","153108","CENTRAL COLLEGE","19.6499996185302","0.56999999284744","0.01999999955296","0.95999997854232","0.00999999977648","0.28000000119209","71581.73","68831","22730.439453125","95.4199981689453","1.28999996185302","1.49000000953674","1.64999997615814","18.3600006103515","8.31999969482422","96.7600021362304","63112.72","4.94999980926513","2.59999990463256",14,"0.8748","1070.0","0.0","0.0","0.0","0.192","0.0","0.0433","0.0","0.0","0.0681","0.0743","0.0","0.0031","0.0","0.0093","0.0","0.0","0.0","0.0","0.0588","0.0","0.0","0.0248","0.1796","0.0186","50900","45400","16900","31800","61900","39800"
"384","153126","CLARKE COLLEGE","23.4899997711181","0.68000000715255","0.15999999642372","0.68999999761581","0.02999999932944","0.40000000596046","70123.54","63082.5","43870.37890625","96.1100006103515","1.22000002861022","1.00999999046325","1.74000000953674","14.0699996948242","6.32999992370605","97.2600021362304","59953.96","4.71999979019165","2.65000009536743",15,"0.6087","1073.0","0.0","0.0","0.0","0.1012","0.0","0.006","0.0","0.0","0.0119","0.0","0.0","0.0119","0.0","0.0179","0.0","0.0","0.0","0.0476","0.0","0.0","0.0","0.2976","0.131","0.0119","48800","45100","16800","32100","62500","27200"
